ID,Age,Sex,Date,HaveYou,WouldYou,SchoolSimplified,Neighborhood,UserLanguage,CaregiverImmigrate,CaregiverImmigrateYear,CaregiverImmigrateMonth,CaregiverDOB_1,CaregiverDOB_2,CaregiverDOB_3,CaregiverResidencyDuration,Partners_count,Partners_no_adults,Count_adults,Prop_adults,Partners_male,Partners_female,Count_same_sex,Count_other_sex,Count_immediate,Count_extended,Count_related,Count_unrelated,Partners_male_noadult,Partners_female_noadult,Count_same_sex_noadult,Count_other_sex_noadult,Count_immediate_noadult,Count_extended_noadult,Count_related_noadult,Count_unrelated_noadult
577,12,M,11-Jan,Yes,Yes,Public,Sandy Bay,ES-ES,Yes,2017,2,1994,8,21,83,5,5,0,0,4,1,4,1,0,0,0,5,4,1,4,1,0,0,0,5
895,7,F,10-Jan,No,No,Public,Camponado/Campolancho,ES-ES,Yes,2022,7,1991,4,10,18,5,5,0,0,3,2,2,3,0,1,1,4,3,2,2,3,0,1,1,4
894,12,M,10-Jan,No,Yes,Public,Camponado/Campolancho,ES-ES,Yes,2022,7,1991,4,10,18,3,3,0,0,3,0,3,0,0,0,0,3,3,0,3,0,0,0,0,3
925,7,F,10-Jan,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,0,1,2,2,1,0,0,0,3,1,2,2,1,0,0,0,3
403,8,F,10-Jan,Yes,No,Methodist,Cola de Mica/Lozano,EN,Yes,1989,1,1985,4,22,420,2,2,0,0,0,2,2,0,0,0,0,2,0,2,2,0,0,0,0,2
681,9,M,10-Jan,Yes,Yes,Public,Camponado/Campolancho,ES-ES,No,NA,NA,1993,9,29,364,4,4,0,0,4,0,4,0,0,0,0,4,4,0,4,0,0,0,0,4
971,13,M,9-Jan,No,Yes,Methodist,Cola de Mica/Lozano,EN,No,NA,NA,1978,5,7,548,7,7,0,0,5,2,5,2,1,2,3,4,5,2,5,2,1,2,3,4
578,9,F,9-Jan,Yes,Yes,Public,Sandy Bay,ES-ES,Yes,2017,2,1994,8,21,83,3,3,0,0,0,3,3,0,0,0,0,3,0,3,3,0,0,0,0,3
646,13,F,9-Jan,Yes,Yes,Methodist,Centro,ES-ES,Yes,2020,12,1970,3,26,37,2,2,0,0,0,2,2,0,0,0,0,2,0,2,2,0,0,0,0,2
957,6,M,9-Jan,No,No,Kinder,Cola de Mica/Lozano,ES-ES,Yes,2015,11,1985,9,17,98,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
958,8,M,9-Jan,No,No,Methodist,Cola de Mica/Lozano,ES-ES,Yes,2015,11,1985,9,17,98,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
956,11,F,9-Jan,Yes,Yes,Methodist,Cola de Mica/Lozano,ES-ES,Yes,2015,11,1985,9,17,98,4,4,0,0,0,4,4,0,0,2,2,2,0,4,4,0,0,2,2,2
979,9,F,9-Jan,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,0,0,1,7,7,1,1,5,6,2,1,7,7,1,1,5,6,2
946,9,F,9-Jan,No,Yes,Adventist,Camponado/Campolancho,ES-ES,Yes,2009,NA,1995,10,21,175,5,5,0,0,0,5,5,0,0,1,1,4,0,5,5,0,0,1,1,4
661,11,F,9-Jan,No,Yes,Public,Camponado/Campolancho,ES-ES,Yes,2000,NA,1996,1,5,283,4,4,0,0,1,3,3,1,1,0,1,3,1,3,3,1,1,0,1,3
662,7,M,9-Jan,No,Yes,Public,Camponado/Campolancho,ES-ES,Yes,2000,NA,1996,1,5,283,8,8,0,0,6,2,6,2,0,1,1,7,6,2,6,2,0,1,1,7
921,6,M,8-Jan,No,Yes,Public,Camponado/Campolancho,ES-ES,No,NA,NA,1977,1,23,564,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
986,10,F,8-Jan,No,Yes,Methodist,Cola de Mica/Lozano,ES-ES,Yes,2012,NA,1980,7,24,139,3,3,0,0,1,2,2,1,0,0,0,3,1,2,2,1,0,0,0,3
985,7,F,8-Jan,Yes,Yes,Methodist,Cola de Mica/Lozano,ES-ES,Yes,2012,NA,1980,7,24,139,2,2,0,0,2,0,0,2,1,1,2,0,2,0,0,2,1,1,2,0
