ID,Age,Sex,Date,Partner_order,Adult,Partner_age,Partner_sex,How,Related,Relationship,AtCamp,Preferred,Unpreferred,Post_camp
577,12,M,11-Jan,1,No,13,M,School,No,Unrelated,No,Yes,No,No
577,12,M,11-Jan,2,No,12,M,School,No,Unrelated,No,No,No,No
577,12,M,11-Jan,3,No,11,M,ThroughFamily,No,Unrelated,No,No,No,No
577,12,M,11-Jan,4,No,11,M,Neighbors,No,Unrelated,No,Yes,No,No
577,12,M,11-Jan,5,No,14,F,School,No,Unrelated,No,No,No,No
895,7,F,10-Jan,1,No,7,F,School,No,Unrelated,No,Yes,No,No
895,7,F,10-Jan,2,No,6,M,School,No,Unrelated,No,No,No,No
895,7,F,10-Jan,3,No,6,F,Family,Yes,Extended,No,Yes,No,No
895,7,F,10-Jan,4,No,7,M,School,No,Unrelated,No,No,Yes,No
895,7,F,10-Jan,5,No,6,M,School,No,Unrelated,No,No,No,No
894,12,M,10-Jan,1,No,8,M,School,No,Unrelated,No,No,No,No
894,12,M,10-Jan,2,No,8,M,School,No,Unrelated,No,No,No,No
894,12,M,10-Jan,3,No,8,M,School,No,Unrelated,No,No,No,No
925,7,F,10-Jan,1,No,7,F,School,No,Unrelated,No,No,No,No
925,7,F,10-Jan,2,No,8,M,School,No,Unrelated,No,Yes,No,No
925,7,F,10-Jan,3,No,5,F,School,No,Unrelated,No,No,No,No
403,8,F,10-Jan,1,No,8,F,School,No,Unrelated,No,No,No,No
403,8,F,10-Jan,2,No,8,F,School,No,Unrelated,No,No,No,No
681,9,M,10-Jan,1,No,8,M,School,No,Unrelated,No,Yes,No,No
681,9,M,10-Jan,2,No,9,M,School,No,Unrelated,No,No,No,No
681,9,M,10-Jan,3,No,12,M,School,No,Unrelated,Yes,No,No,No
681,9,M,10-Jan,4,No,9,M,School,No,Unrelated,No,No,No,No
914,13,M,9-Jan,1,No,14,M,School,No,Unrelated,No,Yes,No,No
914,13,M,9-Jan,2,No,17,M,Family,Yes,Extended,No,No,No,No
914,13,M,9-Jan,3,No,12,F,Family,Yes,Extended,No,No,No,No
914,13,M,9-Jan,4,No,13,F,School,No,Unrelated,No,No,No,No
914,13,M,9-Jan,5,No,13,M,School,No,Unrelated,No,No,No,No
914,13,M,9-Jan,6,No,17,M,ThroughFamily,No,Unrelated,No,No,No,No
914,13,M,9-Jan,7,No,15,M,Family,Yes,Immediate,No,No,No,No
578,9,F,9-Jan,1,No,8,F,School,No,Unrelated,No,Yes,No,No
578,9,F,9-Jan,2,No,9,F,School,No,Unrelated,No,No,No,No
578,9,F,9-Jan,3,No,8,F,School,No,Unrelated,No,No,No,No
646,13,F,9-Jan,1,No,12,F,Neighbors,No,Unrelated,No,Yes,No,No
646,13,F,9-Jan,2,No,11,F,ThroughFamily,No,Unrelated,No,Yes,No,No
957,6,M,9-Jan,1,No,8,M,Family,Yes,Immediate,Yes,No,No,No
958,8,M,9-Jan,1,No,6,M,Family,Yes,Immediate,Yes,No,No,No
956,11,F,9-Jan,1,No,11,F,School,No,Unrelated,No,No,No,No
956,11,F,9-Jan,2,No,11,F,School,No,Unrelated,No,No,No,No
956,11,F,9-Jan,3,No,8,F,Family,Yes,Extended,Yes,No,No,No
956,11,F,9-Jan,4,No,9,F,Family,Yes,Extended,Yes,No,No,No
979,9,F,9-Jan,1,No,9,F,School,No,Unrelated,No,No,No,No
979,9,F,9-Jan,2,No,9,F,Family,Yes,Extended,Yes,Yes,No,No
979,9,F,9-Jan,3,No,10,F,Family,Yes,Extended,No,No,No,No
979,9,F,9-Jan,4,No,10,F,School,No,Unrelated,No,No,No,No
979,9,F,9-Jan,5,No,8,F,Family,Yes,Extended,No,No,Yes,No
979,9,F,9-Jan,6,No,14,M,Family,Yes,Extended,No,No,No,No
979,9,F,9-Jan,7,No,12,F,Family,Yes,Extended,No,No,No,No
979,9,F,9-Jan,8,No,14,F,Family,Yes,Immediate,No,No,No,No
946,9,F,9-Jan,1,No,9,F,School,No,Unrelated,No,No,No,No
946,9,F,9-Jan,2,No,8,F,School,No,Unrelated,No,No,No,No
946,9,F,9-Jan,3,No,9,F,School,No,Unrelated,No,No,No,No
946,9,F,9-Jan,4,No,9,F,School,No,Unrelated,No,No,No,No
946,9,F,9-Jan,5,No,10,F,Family,Yes,Extended,No,Yes,No,No
661,11,F,9-Jan,1,No,11,F,School,No,Unrelated,No,No,No,No
661,11,F,9-Jan,2,No,11,F,School,No,Unrelated,No,No,No,No
661,11,F,9-Jan,3,No,11,F,School,No,Unrelated,No,Yes,No,No
661,11,F,9-Jan,4,No,7,M,Family,Yes,Immediate,Yes,No,No,No
662,7,M,9-Jan,1,No,12,M,Neighbors,No,Unrelated,No,Yes,No,No
662,7,M,9-Jan,2,No,8,M,Neighbors,No,Unrelated,No,Yes,No,No
662,7,M,9-Jan,3,No,6,M,Neighbors,No,Unrelated,No,No,No,No
