ID,StatedAge,Age,WouldYou,OpenToNew,SchoolSimplified,Neighborhood,UserLanguage,CaregiverImmigrate,CaregiverImmigrateYear,CaregiverImmigrateMonth,MonthsSinceCaregiverImmigration,CaregiverDOB_1,CaregiverDOB_2,CaregiverDOB_3,CaregiverResidencyDuration,AverageAgeDifference,VarianceAgeDifference,StDevAgeDifference,AvgAbsAgeDifference,VarAbsAgeDifference,StDevAbsAgeDifference,Partners_count,Partners_no_adults,Count_adults,Prop_adults,Partners_male,Partners_female,Prop_male,Count_same_sex,Count_other_sex,Prop_same_sex,Count_immediate,Count_extended,Count_related,Count_unrelated,Prop_immediate,Prop_extended,Prop_related,Partners_male_noadult,Partners_female_noadult,Prop_malenoadult,Count_same_sex_noadult,Count_other_sex_noadult,Prop_same_sex_noadult,Count_immediate_noadult,Count_extended_noadult,Count_related_noadult,Count_unrelated_noadult,Prop_immediate_noadult,Prop_extended_noadult,Prop_related_noadult,Sex
403,8,8.42,No,1,Methodist,Cola de Mica/Lozano,EN,Yes,1989,1,420,1985,4,22,420,0,0,0,0,0,0,2,2,0,0,0,2,0,2,0,1,0,0,0,2,0,0,0,0,2,0,2,0,1,0,0,0,2,0,0,0,F
405,15,15.75,NA,NA,Methodist,Donkey City,EN,Yes,2006,11,206,NA,NA,NA,206,-0.7142857143,4.238095238,2.058663459,1.285714286,2.904761905,1.704336206,7,7,0,0,7,0,1,7,0,1,0,1,1,6,0,0.1428571429,0.1428571429,7,0,1,7,0,1,0,1,1,6,0,0.1428571429,0.1428571429,M
407,13,13.58,Yes,1,Adventist,Centro,EN,No,NA,NA,NA,1990,9,20,400,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,F
408,10,10.17,No,0,Adventist,Centro,EN,No,NA,NA,NA,1990,9,20,400,-0.5,0.5,0.7071067812,0.5,0.5,0.7071067812,2,2,0,0,2,0,1,2,0,1,0,2,2,0,0,1,1,2,0,1,2,0,1,0,2,2,0,0,1,1,M
409,8,8.33,Yes,1,Adventist,Centro,EN,No,NA,NA,NA,1990,9,20,400,3,9,3,3,9,3,3,3,0,0,2,1,0.666666667,1,2,0.333333333,0,3,3,0,0,1,1,2,1,0.666666667,1,2,0.333333333,0,3,3,0,0,1,1,F
410,11,11.83,NA,NA,Other,Treasure Hill,EN,No,NA,NA,NA,1990,6,29,403,0.2,1.7,1.303840481,1,0.5,0.7071067812,5,5,0,0,5,0,1,5,0,1,0,1,1,4,0,0.2,0.2,5,0,1,5,0,1,0,1,1,4,0,0.2,0.2,M
413,16,15.25,NA,NA,Public,Sandy Bay,EN,No,NA,NA,NA,1987,6,3,439,2,0.8,0.894427191,2,0.8,0.894427191,6,6,0,0,5,1,0.8333333333,5,1,0.8333333333,0,0,0,6,0,0,0,5,1,0.8333333333,5,1,0.8333333333,0,0,0,6,0,0,0,M
414,14,14.33,Yes,1,Public,Sandy Bay,EN,No,NA,NA,NA,1987,6,3,439,6.75,4.916666667,2.217355783,6.75,4.916666667,4.097037257,4,4,0,0,1,3,0.25,3,1,0.75,0,4,4,0,0,1,1,1,3,0.25,3,1,0.75,0,4,4,0,0,1,1,F
415,7,7.42,Yes,1,Public,Sandy Bay,EN,No,NA,NA,NA,1987,6,3,439,-2.75,33.92857143,5.824823725,4.75,16.78571429,1,8,8,0,0,3,5,0.375,3,5,0.375,3,5,8,0,0.375,0.625,1,3,5,0.375,3,5,0.375,3,5,8,0,0.375,0.625,1,M
417,11,11.08,No,1,Public,Sandy Bay,EN,No,NA,NA,NA,1981,5,27,512,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,F
418,8,8.92,Yes,1,Public,Sandy Bay,EN,No,NA,NA,NA,1981,5,27,512,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,F
419,6,6.75,No,1,Public,Sandy Bay,EN,No,NA,NA,NA,1981,5,27,512,-0.6666666667,0.3333333333,0.5773502692,0.6666666667,0.3333333333,0.5773502692,3,3,0,0,3,0,1,3,0,1,0,1,1,2,0,0.333333333,0.333333333,3,0,1,3,0,1,0,1,1,2,0,0.333333333,0.333333333,M
422,13,13.67,Yes,1,Public,Camponado/Campolancho,ES-ES,Yes,2015,1,108,1991,6,12,108,0,0.6666666667,0.8164965809,0.5,0.3333333333,0.5773502692,4,4,0,0,3,1,0.75,1,3,0.25,0,0,0,4,0,0,0,3,1,0.75,1,3,0.25,0,0,0,4,0,0,0,F
423,7,7.25,Unsure,1,Public,Camponado/Campolancho,ES-ES,Yes,2015,1,108,1991,6,12,108,-0.5,13.66666667,3.696845502,2.5,5.666666667,2.380476143,7,5,2,0.2857142857,3,4,0.428571429,3,4,0.428571429,4,2,6,1,0.571428571,0.285714286,0.857142857,2,2,0.5,2,2,0.5,2,1,3,1,0.5,0.25,0.75,M
426,15,15.17,Yes,1,Adventist,Cola de Mica/Lozano,EN,No,NA,NA,NA,1983,4,27,489,1,1,1,1,1,1,5,5,0,0,0,5,0,5,0,1,0,1,1,4,0,0.2,0.2,0,5,0,5,0,1,0,1,1,4,0,0.2,0.2,F
427,7,8.5,Yes,1,Adventist,Cola de Mica/Lozano,EN,No,NA,NA,NA,1983,4,27,489,-1,7,2.645751311,2.333333333,0.3333333333,0.5773502692,3,3,0,0,2,1,0.666666667,2,1,0.666666667,1,1,2,1,0.333333333,0.333333333,0.666666667,2,1,0.666666667,2,1,0.666666667,1,1,2,1,0.333333333,0.333333333,0.666666667,M
430,11,11.25,Yes,1,Methodist,Cola de Mica/Lozano,EN,No,NA,NA,NA,1991,10,15,387,0.75,2.5,1.58113883,1.25,1.357142857,1.164964745,8,8,0,0,7,1,0.875,7,1,0.875,0,1,1,7,0,0.125,0.125,7,1,0.875,7,1,0.875,0,1,1,7,0,0.125,0.125,M
431,8,8.75,No,1,Methodist,Cola de Mica/Lozano,EN,No,NA,NA,NA,1991,10,15,387,0,0,0,0,0,0,3,3,0,0,1,2,0.333333333,2,1,0.666666667,0,1,1,2,0,0.333333333,0.333333333,1,2,0.333333333,2,1,0.666666667,0,1,1,2,0,0.333333333,0.333333333,F
432,7,7.67,Yes,1,Methodist,Western Path,EN,No,NA,NA,NA,1986,6,20,451,0.3333333333,1.066666667,1.032795559,0.6666666667,0.6666666667,0.8164965809,6,6,0,0,3,3,0.5,3,3,0.5,1,0,1,5,0.166666667,0,0.166666667,3,3,0.5,3,3,0.5,1,0,1,5,0.166666667,0,0.166666667,F
443,7,8.08,No,1,Kinder,Camponado/Campolancho,ES-ES,Yes,2014,3,118,1994,3,4,118,0.2,0.2,0.4472135955,0.2,0.2,0.4472135955,5,5,0,0,5,0,1,5,0,1,0,0,0,5,0,0,0,5,0,1,5,0,1,0,0,0,5,0,0,0,M
451,10,10.83,Yes,1,Public,Camponado/Campolancho,EN,No,NA,NA,NA,1995,10,30,339,-2.25,3.071428571,1.752549164,2.25,3.071428571,1.752549164,8,8,0,0,7,1,0.875,7,1,0.875,0,4,4,4,0,0.5,0.5,7,1,0.875,7,1,0.875,0,4,4,4,0,0.5,0.5,M
452,9,9.17,No,1,Public,Camponado/Campolancho,EN,No,NA,NA,NA,1995,10,30,339,0,0.8,0.894427191,0.6666666667,0.2666666667,0.5163977795,6,6,0,0,1,5,0.166666667,5,1,0.833333333,0,0,0,6,0,0,0,1,5,0.166666667,5,1,0.833333333,0,0,0,6,0,0,0,F
551,11,11.33,NA,NA,Public,Pumpkin Hill,ES-ES,Yes,2008,NA,187,1987,7,21,187,3.333333333,69.33333333,8.326663998,7.333333333,5.333333333,2.309401077,3,3,0,0,0,3,0,0,3,0,2,1,3,0,0.6666666667,0.3333333333,1,0,3,0,0,3,0,2,1,3,0,0.6666666667,0.3333333333,1,M
558,13,13.33,NA,NA,Public,Camponado/Campolancho,ES-ES,Yes,2000,NA,283,1986,2,15,283,-0.5,0.5714285714,0.755928946,0.5,0.5714285714,0.755928946,8,8,0,0,2,6,0.25,6,2,0.75,0,1,1,7,0,0.125,0.125,2,6,0.25,6,2,0.75,0,1,1,7,0,0.125,0.125,F
559,9,9.33,NA,NA,Public,Camponado/Campolancho,ES-ES,Yes,2000,NA,283,1986,2,15,283,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,F
565,16,16.5,No,0,Public,Camponado/Campolancho,ES-ES,Yes,1999,NA,295,1980,11,24,295,0.6666666667,2.333333333,1.527525232,1.333333333,0.3333333333,0.5773502692,3,3,0,0,0,3,0,3,0,1,0,0,0,3,0,0,0,0,3,0,3,0,1,0,0,0,3,0,0,0,F
566,13,13.75,Yes,1,Public,Camponado/Campolancho,ES-ES,Yes,1999,NA,295,1980,11,24,295,0,3.2,1.788854382,1.333333333,1.066666667,1.032795559,6,6,0,0,6,0,1,6,0,1,0,1,1,5,0,0.166666667,0.166666667,6,0,1,6,0,1,0,1,1,5,0,0.166666667,0.166666667,M
567,9,9.08,Yes,1,Public,Camponado/Campolancho,ES-ES,Yes,1999,NA,295,1980,11,24,295,1,6.5,2.549509757,2.2,1.7,1.303840481,5,5,0,0,2,3,0.4,2,3,0.4,0,4,4,1,0,0.8,0.8,2,3,0.4,2,3,0.4,0,4,4,1,0,0.8,0.8,M
568,9,9.33,Yes,1,Public,Camponado/Campolancho,ES-ES,Yes,2007,NA,199,1993,7,12,199,0,0,0,0,0,0,2,2,0,0,1,1,0.5,1,1,0.5,1,1,2,0,0.5,0.5,1,1,1,0.5,1,1,0.5,1,1,2,0,0.5,0.5,1,M
569,9,9.67,No,0,Public,Camponado/Campolancho,ES-ES,Yes,2007,NA,199,1993,7,12,199,-0.5,0.3333333333,0.5773502692,0.5,0.3333333333,0.5773502692,4,4,0,0,4,0,1,4,0,1,0,1,1,3,0,0.25,0.25,4,0,1,4,0,1,0,1,1,3,0,0.25,0.25,M
573,15,15.25,Yes,1,Public,Sandy Bay,ES-ES,Yes,2010,NA,163,1986,9,1,163,1,0.6666666667,0.8164965809,1,0.6666666667,0.8164965809,4,4,0,0,2,2,0.5,1,1,0.25,0,2,2,2,0,0.5,0.5,2,2,0.5,1,1,0.25,0,2,2,2,0,0.5,0.5,F
574,14,14.5,NA,NA,Public,Sandy Bay,ES-ES,Yes,2010,NA,163,1986,9,1,163,1.333333333,1.333333333,1.154700538,1.333333333,1.333333333,1.154700538,3,3,0,0,3,0,1,3,0,1,0,0,0,3,0,0,0,3,0,1,3,0,1,0,0,0,3,0,0,0,M
575,10,10.17,Yes,1,Public,Sandy Bay,ES-ES,Yes,2010,NA,163,1986,9,1,163,2,0,0,2,0,0,2,2,0,0,0,2,0,2,0,1,0,0,0,2,0,0,0,0,2,0,2,0,1,0,0,0,2,0,0,0,F
576,8,8,NA,NA,Methodist,Camponado/Campolancho,ES-ES,Yes,2011,7,150,1996,8,10,150,0,11.33333333,3.366501646,2.5,3,1.732050808,4,4,0,0,2,2,0.5,2,2,0.5,0,3,3,1,0,0.75,0.75,2,2,0.5,2,2,0.5,0,3,3,1,0,0.75,0.75,F
577,12,12.58,Yes,1,Public,Sandy Bay,ES-ES,Yes,2017,2,83,1994,8,21,83,-0.2,1.7,1.303840481,1,0.5,0.7071067812,5,5,0,0,4,1,0.8,4,1,0.8,0,0,0,5,0,0,0,4,1,0.8,4,1,0.8,0,0,0,5,0,0,0,M
